model,params,mean_test_score,mean_fit_time
svm,"{'C': 1.7782794100389228, 'gamma': 0.002154434690031882}",0.7036205897231514,2.0483525594075522
svm,"{'C': 1.7782794100389228, 'gamma': 0.046415888336127774}",0.8000365639580295,0.9849998950958252
svm,"{'C': 1.7782794100389228, 'gamma': 1.0}",0.7612164268495433,3.660332679748535
svm,"{'C': 31.622776601683793, 'gamma': 0.0001}",0.6919746659394947,2.161000887552897
svm,"{'C': 31.622776601683793, 'gamma': 0.002154434690031882}",0.797509431183531,1.0670000712076824
svm,"{'C': 31.622776601683793, 'gamma': 0.046415888336127774}",0.8451744229881779,1.060666561126709
svm,"{'C': 31.622776601683793, 'gamma': 1.0}",0.7514668855614612,3.4956651528676352
svm,"{'C': 562.341325190349, 'gamma': 0.0001}",0.7904676421684237,1.1246652603149414
svm,"{'C': 562.341325190349, 'gamma': 0.002154434690031882}",0.8430079424661866,0.9453332424163818
svm,"{'C': 562.341325190349, 'gamma': 0.046415888336127774}",0.8461676346483157,1.5270006656646729
svm,"{'C': 562.341325190349, 'gamma': 1.0}",0.7437933194646504,3.430999755859375
svm,"{'C': 10000.0, 'gamma': 0.0001}",0.8338901538121227,0.9859998226165771
svm,"{'C': 10000.0, 'gamma': 0.002154434690031882}",0.855737045391626,2.0613348484039307
svm,"{'C': 10000.0, 'gamma': 0.046415888336127774}",0.8249525934935713,4.853332122166951
svm,"{'C': 10000.0, 'gamma': 1.0}",0.7439738900677563,2.7416656017303467
neural_network,"{'alpha': 0, 'hidden_layer_sizes': 200}",0.8487860550794615,55.82300384839376
neural_network,"{'alpha': 0, 'hidden_layer_sizes': (40, 40)}",0.8365087942724353,25.302409807840984
neural_network,"{'alpha': 0, 'hidden_layer_sizes': (80, 80)}",0.8447231431665249,47.444258530934654
neural_network,"{'alpha': 0, 'hidden_layer_sizes': (40, 40, 40)}",0.8356957131570694,31.597591320673626
neural_network,"{'alpha': 0.05, 'hidden_layer_sizes': 200}",0.8495081174627175,56.11499309539795
neural_network,"{'alpha': 0.05, 'hidden_layer_sizes': (40, 40)}",0.8409313071874142,26.284366448720295
neural_network,"{'alpha': 0.05, 'hidden_layer_sizes': (80, 80)}",0.8486952074811481,50.64474471410116
neural_network,"{'alpha': 0.05, 'hidden_layer_sizes': (40, 40, 40)}",0.8360561453804095,33.84520411491394
neural_network,"{'alpha': 0.5, 'hidden_layer_sizes': 200}",0.846528849197583,42.51633890469869
neural_network,"{'alpha': 0.5, 'hidden_layer_sizes': (40, 40)}",0.8436396462048342,24.564609050750732
neural_network,"{'alpha': 0.5, 'hidden_layer_sizes': (80, 80)}",0.8465284091392488,36.22093280156454
neural_network,"{'alpha': 0.5, 'hidden_layer_sizes': (40, 40, 40)}",0.837771810586767,25.21118911107381
